Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
310010,418,426,557,521,472,530,513,533,564,471,410,417,330,275,166,109,115
310020,1377,1619,1944,1870,1842,1696,1617,1620,1751,1700,1488,1257,996,806,627,411,486
310030,914,1077,1202,1223,1017,1041,1010,918,935,891,780,682,527,413,375,268,283
310040,279,277,390,375,286,289,286,309,259,261,202,176,149,154,110,83,107
310050,687,874,1145,988,749,690,688,695,628,602,544,496,420,384,321,279,275
310060,1232,1595,1993,1680,1216,1008,1053,957,903,836,678,638,461,427,344,214,239
310070,107,141,151,178,177,163,145,150,142,136,135,128,98,65,63,45,38
310080,257,271,369,322,298,300,310,273,300,288,272,248,209,136,124,67,84
310090,1446,1812,1887,1894,1468,1505,1252,1249,1095,1039,827,812,678,637,535,325,358
310100,1025,1247,1357,1394,1169,974,901,806,733,721,616,536,461,357,262,171,226
310110,1707,1921,2130,2117,1904,1862,1904,1786,1719,1699,1502,1298,1065,862,732,560,650
310120,326,435,501,531,460,406,451,419,475,462,431,350,285,257,198,154,134
310130,168,180,249,230,178,179,157,160,219,248,199,175,128,81,77,70,61
310140,186,196,275,260,224,238,227,266,198,172,164,168,103,103,73,60,54
310150,2239,2465,2863,2839,2518,2676,2620,2490,2490,2513,2313,1871,1428,1096,917,768,874
310160,4914,5240,6133,6445,6651,6385,6026,5305,5237,5205,4575,3839,2947,2147,1649,1158,1274
310163,433,492,540,572,502,479,474,469,502,418,339,291,212,178,122,88,76
310170,3011,3323,3525,3504,3566,3381,2926,2732,2569,2356,1872,1726,1365,1232,1000,679,721
310180,492,633,765,681,534,539,556,530,433,452,376,330,255,251,196,136,145
310190,1227,1355,1711,1673,1622,1561,1374,1305,1391,1281,1134,961,684,507,433,287,322
310200,895,1047,1164,1088,1090,1104,1022,1013,964,949,828,715,616,481,412,283,298
310205,403,434,487,456,485,473,424,402,352,357,286,248,167,130,113,85,92
315350,572,664,761,675,686,671,663,569,579,577,511,444,284,220,204,181,210
310210,695,871,1117,1175,985,859,839,784,900,798,731,637,567,463,388,255,318
310220,303,353,413,416,332,340,318,299,258,305,286,236,182,154,123,95,113
310230,971,1125,1364,1358,1188,1178,1161,1018,1070,1056,895,748,662,520,440,377,410
310240,350,428,413,365,271,247,230,239,202,183,161,158,90,90,74,43,67
310250,307,388,509,475,330,355,374,339,348,325,312,253,223,177,164,114,153
310260,2283,2401,2819,3053,3145,3190,2993,2877,2830,2693,2361,2029,1576,1205,963,780,757
310280,711,882,961,998,811,893,964,910,923,890,809,715,615,447,347,265,256
310285,714,945,1074,902,707,645,568,481,456,356,292,277,221,176,139,97,100
310290,666,819,953,1011,904,849,888,918,830,825,649,533,491,364,262,166,190
310300,723,808,1001,948,791,709,722,674,666,620,520,426,335,273,249,130,146
310310,75,110,124,129,118,117,111,112,125,134,110,109,82,74,65,53,54
310320,143,176,224,197,179,167,157,151,176,165,129,110,100,68,58,48,36
310330,94,137,165,182,141,126,130,119,182,156,167,137,104,81,62,59,54
310340,2804,3119,3560,3846,3224,3051,2554,2426,2252,2115,1688,1369,1190,1055,918,668,836
310350,7031,7675,8533,8892,9600,9186,9002,8279,8593,8087,6773,5594,4563,3472,2785,1802,1952
310360,165,210,262,240,158,172,192,204,252,222,199,167,124,93,94,66,55
310370,595,740,827,785,765,736,714,573,501,479,383,343,263,183,175,115,125
310375,518,464,570,578,582,568,565,484,471,326,284,238,212,145,110,82,60
310380,155,166,215,224,155,192,203,247,240,186,166,175,146,113,107,63,73
310390,620,627,666,654,768,713,636,596,562,527,439,326,263,202,166,111,152
310400,6052,6385,7279,7908,8744,8818,7893,6859,6869,6606,6103,4906,3443,2666,1998,1394,1470
310410,685,660,748,845,944,790,729,672,664,585,560,494,373,317,244,177,197
310420,2247,2381,2832,2990,3219,3417,3099,2778,2899,2768,2392,1904,1450,1061,758,531,543
