Municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
310660,1,0,1,2,4,0,5,6,9,4,7,4,3,2,7,8,3,1
310670,112,100,119,97,77,87,74,51,79,79,53,63,62,86,69,77,56,50
310680,5,3,2,3,0,3,0,0,3,1,2,0,1,0,0,0,1,1
310690,2,3,5,4,2,3,3,1,1,2,2,3,2,5,2,2,0,2
310700,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
310710,15,15,15,14,13,16,14,8,6,10,8,5,4,6,9,12,10,8
310720,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0
310730,12,22,16,10,19,9,13,16,7,8,9,17,14,6,8,9,6,11
310740,11,9,9,9,13,6,13,5,11,7,7,11,5,6,7,8,9,7
310750,4,4,0,0,3,1,2,1,0,2,0,2,2,1,1,0,0,1
310760,1,0,0,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0
310770,1,2,1,3,1,0,1,1,0,1,3,2,1,0,1,1,1,0
310780,9,6,3,7,8,7,12,4,1,1,6,2,4,4,1,0,2,0
310790,2,4,5,2,0,1,3,1,0,1,0,0,1,0,0,0,2,1
310800,17,10,5,11,11,6,3,6,6,3,3,4,4,4,1,5,0,3
310810,1,1,0,1,1,1,0,1,0,1,0,0,1,0,2,0,0,1
310820,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1
310825,2,0,0,2,1,1,1,2,2,8,3,3,3,3,0,2,1,1
310830,4,6,5,3,2,1,2,4,3,2,2,2,6,1,6,2,2,3
310840,2,4,0,4,3,2,3,3,0,3,1,3,1,4,2,2,3,7
310850,1,1,3,1,2,2,0,2,0,1,2,0,3,0,0,1,0,1
310870,4,2,2,1,3,2,0,0,1,1,2,1,0,1,0,2,1,0
310855,1,0,4,3,2,2,8,1,3,1,3,3,2,3,3,2,1,3
310860,7,8,11,4,1,14,5,14,5,8,8,7,4,6,4,4,4,4
310880,1,0,1,0,1,0,2,0,1,0,0,1,1,0,1,1,0,0
310890,2,8,3,4,4,3,4,2,4,4,2,3,2,2,0,0,2,4
310900,6,8,5,2,6,1,3,8,5,7,7,3,6,5,4,6,3,3
310910,3,3,5,5,5,1,0,0,3,0,1,0,0,0,1,2,2,1
310920,5,5,2,5,2,2,2,3,2,4,2,0,4,2,0,1,2,1
310925,0,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0
310930,3,6,8,7,7,9,9,9,8,4,4,5,8,8,2,4,3,3
310940,8,17,11,6,22,14,5,12,14,9,10,3,7,10,6,3,7,4
310945,3,2,0,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0
310950,6,2,1,7,1,1,1,6,1,1,2,0,3,1,1,3,1,2
310960,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
310970,1,2,1,2,3,1,1,1,1,5,1,2,1,0,2,3,0,2
310270,1,0,2,2,7,6,1,4,2,6,3,4,4,5,2,1,1,2
310980,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
310990,5,2,2,2,2,1,1,2,5,0,0,0,4,0,2,1,3,1
311000,14,9,19,13,8,11,7,8,7,6,4,7,4,4,3,6,5,5
311010,3,0,1,0,1,1,2,1,2,1,1,1,2,1,1,0,0,0
311020,2,2,4,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
311030,5,4,3,2,0,0,2,2,3,2,0,4,4,3,1,1,1,0
311040,0,0,1,0,0,0,1,0,0,2,1,0,1,1,1,0,1,0
311050,4,7,7,9,7,4,0,6,2,8,4,4,4,3,3,2,5,3
311060,3,10,7,4,5,4,3,4,4,5,3,3,4,2,1,4,6,2
311070,5,10,6,3,4,5,3,0,4,2,3,3,0,5,4,3,4,1
311080,1,1,0,0,1,0,0,2,0,0,1,0,0,3,0,1,0,0
311090,6,5,8,2,2,2,3,2,2,3,1,4,3,1,0,3,7,4
311100,3,6,2,4,2,2,3,5,2,5,4,6,5,2,3,0,1,3
311110,6,4,5,4,4,6,4,4,5,4,2,2,2,1,1,2,4,2
311115,1,0,0,0,0,2,0,1,1,0,1,1,0,0,1,0,2,2
311120,20,14,11,5,10,6,8,12,8,13,7,9,7,5,4,7,4,5
311130,6,2,4,1,5,3,4,1,2,1,3,2,2,2,1,3,2,1
311140,0,1,1,2,2,1,0,3,1,0,1,0,2,2,1,2,1,2
311150,7,5,2,5,5,3,1,2,5,1,3,7,1,5,6,2,5,1
311160,12,2,5,3,8,4,2,6,7,7,1,3,4,2,3,5,4,7
311190,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0
311170,0,0,1,0,1,0,1,0,1,2,2,1,1,0,0,1,0,0
311180,0,3,0,5,1,1,0,2,5,2,0,2,0,2,0,2,0,0
311200,3,2,3,4,7,2,0,3,1,0,2,1,0,1,2,2,3,0
311205,2,0,4,2,1,1,1,4,1,0,1,1,0,1,1,1,2,1
311210,2,2,0,1,0,2,0,4,3,0,0,0,0,0,2,2,0,1
311220,1,1,0,0,1,2,0,2,0,2,0,1,1,0,1,0,1,0
311230,7,9,5,8,8,9,15,13,9,10,9,9,5,7,7,2,3,6
311240,1,2,4,0,1,1,1,1,1,0,0,4,4,2,2,0,0,1
311250,2,0,3,1,3,2,0,2,0,1,1,4,2,2,1,1,3,2
311260,2,1,4,5,2,2,3,4,0,5,3,2,1,2,1,0,1,4
311265,1,0,0,0,2,2,2,2,0,0,4,1,0,0,2,0,0,1
311270,7,7,5,8,1,6,3,3,1,5,1,1,2,5,3,3,3,3
311280,1,0,1,2,1,2,4,0,0,0,1,0,0,0,0,1,2,0
311290,1,2,3,10,3,1,0,1,3,3,1,4,1,3,1,2,2,1
311300,3,6,11,15,7,9,10,10,5,9,6,5,4,4,4,3,5,8
311310,3,0,0,0,2,1,0,2,0,1,0,1,1,0,0,1,2,2
311320,7,5,9,5,6,5,3,4,8,6,7,8,2,2,0,3,3,8
311330,22,12,16,10,12,10,8,9,8,14,8,5,6,9,4,5,4,6
311340,44,28,23,25,29,31,25,15,25,22,21,28,16,16,16,17,16,24
311350,1,2,2,2,0,1,2,1,3,3,1,1,1,2,0,1,1,0
311360,1,3,0,3,0,0,1,1,2,1,1,3,1,1,0,1,1,1
311370,8,3,8,9,8,7,10,6,10,6,5,5,5,1,5,1,8,2
311380,1,3,2,2,1,2,1,0,2,0,0,0,0,3,0,1,0,1
311390,10,8,6,4,5,6,5,3,5,1,5,3,2,2,2,4,2,1
311400,2,5,3,2,2,0,1,5,1,2,1,1,0,2,1,3,1,0
311410,2,3,3,5,2,4,5,7,5,2,0,2,0,1,8,2,1,2
311420,14,1,3,6,4,6,1,0,2,4,3,5,7,1,1,3,4,1
311430,11,5,10,3,3,0,4,5,5,4,2,5,4,9,1,3,2,4
311440,6,3,5,2,3,0,3,3,1,0,1,0,7,1,2,5,4,2
311450,5,5,1,2,2,1,3,3,3,1,0,1,1,2,1,1,2,4
311455,1,0,0,2,0,2,1,3,0,2,1,1,1,1,2,2,1,2
311460,2,0,1,1,2,0,2,1,1,0,2,0,0,0,0,0,0,2
311470,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311480,1,0,1,2,1,1,3,0,1,1,1,1,0,3,0,1,0,1
311490,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
311500,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
311510,5,4,5,3,2,3,8,0,3,0,2,2,3,2,2,7,2,0
311530,18,22,16,18,12,22,15,18,7,10,8,20,9,5,7,10,10,8
311535,2,0,1,0,0,0,2,0,0,3,0,0,1,1,0,0,1,0
311540,2,1,0,0,2,2,1,0,0,1,0,0,2,0,2,0,0,1
311545,0,2,6,4,7,5,2,4,4,1,2,6,3,2,6,3,2,3
311547,0,1,0,3,2,1,1,2,1,1,0,0,1,2,1,0,0,1
311550,9,6,6,5,6,6,8,3,3,8,1,3,3,4,1,5,4,2
311560,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0
311570,2,0,1,2,2,2,1,3,0,1,1,3,2,1,0,1,0,0
311580,1,0,3,3,1,1,3,1,0,0,0,1,0,0,1,1,1,3
311590,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
311600,1,1,1,1,2,1,1,3,1,0,3,0,2,0,1,0,0,4
311610,2,4,4,2,4,6,2,3,1,3,4,2,2,3,2,3,4,1
311615,1,2,1,3,2,4,5,5,2,5,2,3,3,7,4,4,0,4
311620,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1
311630,2,4,7,1,2,3,3,2,0,2,0,2,1,0,0,1,0,1
311640,0,0,3,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
311650,1,3,1,0,0,3,1,1,1,0,0,0,1,1,1,2,0,2
311660,7,7,6,5,12,11,9,6,7,8,4,4,5,3,4,4,5,5
311670,2,3,0,3,1,0,1,0,1,0,2,2,0,2,2,2,2,1
311680,5,5,7,7,4,7,10,1,2,4,2,5,3,4,1,1,0,2
311690,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
311700,0,0,3,1,4,2,3,2,2,1,0,0,2,1,1,1,1,0
311710,2,2,0,5,1,1,1,3,3,0,2,0,0,1,0,1,0,0
311520,1,1,1,2,4,0,0,0,2,0,1,0,1,0,0,0,0,1
311730,2,5,4,7,3,6,5,3,6,6,5,4,7,3,4,3,4,3
311720,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
311740,0,4,0,1,1,2,2,0,2,1,0,2,0,0,0,0,1,0
311750,10,11,10,10,11,4,4,5,3,3,0,3,3,1,2,1,2,1
311760,2,1,0,1,2,1,1,1,1,0,1,2,0,2,1,1,0,0
311770,5,4,3,5,3,8,2,2,3,2,1,5,2,0,1,2,0,1
311780,2,1,1,2,1,1,2,1,4,0,3,1,1,0,1,0,4,4
311783,0,0,1,0,1,1,1,0,1,5,2,0,0,2,4,0,1,0
311787,0,4,0,2,1,2,0,0,3,2,0,0,1,1,0,2,0,2
311790,2,4,2,1,0,2,0,3,3,0,1,1,2,3,1,3,2,0
311800,14,7,12,4,13,11,10,12,9,9,9,6,7,6,9,7,10,13
311810,1,4,7,1,4,7,3,4,3,1,1,0,1,0,0,2,3,1
311820,3,1,3,1,0,0,1,2,2,2,0,0,0,1,0,3,2,2
311830,51,29,35,28,26,33,28,28,29,33,19,25,21,24,16,16,14,27
311840,6,3,6,13,5,5,5,4,5,1,4,2,5,4,2,2,3,2
311850,3,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
311860,209,163,136,121,117,111,99,99,87,103,106,94,79,95,89,95,94,85
311870,3,4,3,0,2,1,4,0,2,1,3,2,0,0,0,2,1,0
311880,9,10,10,7,7,7,4,6,2,8,8,2,7,5,4,5,2,4
311890,1,0,1,1,1,1,2,1,2,1,0,0,1,0,2,3,0,0
311900,2,1,2,0,0,2,1,1,1,0,0,1,2,0,1,1,1,1
311910,12,14,15,13,6,9,8,3,6,8,8,5,5,2,8,3,4,8
311920,0,1,3,5,3,3,2,1,0,0,2,2,2,3,1,0,1,1
311930,6,1,8,4,2,2,3,4,5,3,4,4,6,4,1,6,1,4
311940,37,41,39,25,17,26,19,27,15,13,19,24,19,13,16,10,22,13
311950,1,2,0,2,2,2,2,2,3,1,0,0,4,0,4,1,0,3
311960,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
311970,2,2,0,3,0,1,1,0,0,2,2,1,1,0,0,0,0,0
311980,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
311990,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
311995,0,2,0,3,2,0,0,0,1,0,0,3,1,1,0,0,0,2
312000,1,1,2,1,0,0,0,0,0,2,1,0,0,3,0,0,0,1
312010,3,3,2,0,1,0,3,1,2,4,0,0,0,0,0,1,2,1
312015,1,1,0,3,0,1,2,1,1,2,0,1,5,1,1,3,1,0
312020,3,3,0,2,1,0,2,3,1,2,3,3,1,3,1,2,0,1
312030,1,1,2,2,4,2,0,1,5,1,1,1,3,1,1,0,3,1
312040,1,2,2,0,1,0,2,1,2,1,3,1,2,2,2,1,0,1
312050,2,1,4,1,2,2,1,2,3,1,1,1,1,0,2,0,1,1
312060,2,1,1,2,1,1,0,1,1,0,0,1,1,1,0,1,0,0
312070,2,2,0,2,2,0,1,2,0,2,0,0,2,2,0,0,0,1
312080,2,6,7,1,9,3,0,3,4,4,2,1,0,4,1,4,2,3
312083,0,0,0,0,1,1,0,0,0,1,2,0,1,3,1,0,0,1
312087,2,1,0,1,2,3,4,1,2,2,1,4,2,0,2,2,2,2
312090,15,30,37,26,28,21,19,21,17,10,14,18,11,10,9,17,10,14
312100,5,3,2,2,1,2,2,4,1,0,1,1,0,3,1,1,0,1
312110,1,5,1,2,1,1,3,1,0,3,0,2,2,0,1,1,2,0
312120,1,1,1,0,0,0,2,2,0,0,0,2,1,1,0,0,1,0
312125,0,0,2,3,3,4,2,4,2,3,0,2,1,0,0,3,3,1
312130,1,1,0,3,0,0,1,2,0,0,2,0,0,1,1,0,0,0
312140,1,4,2,1,1,0,2,0,0,0,1,1,0,1,1,0,0,2
312150,1,1,1,0,3,1,2,0,1,0,0,0,1,1,0,2,1,0
312160,26,19,26,12,12,15,12,13,14,8,6,11,17,14,8,10,11,6
312170,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1
312180,0,5,1,0,0,1,1,0,2,0,1,0,2,2,1,0,2,2
312190,0,4,0,1,0,0,1,1,3,0,1,0,1,0,0,0,0,0
312200,9,15,13,15,9,15,10,5,1,9,5,12,6,2,4,4,4,3
312210,0,0,2,2,2,1,1,0,0,2,2,1,0,3,3,1,3,1
312220,5,6,0,1,4,3,2,2,1,1,2,0,1,3,3,1,5,0
312230,44,55,42,41,38,45,31,37,24,23,37,38,33,21,22,25,27,17
312235,2,2,1,3,3,3,4,6,2,2,1,2,3,1,1,2,3,0
312240,2,3,2,4,2,2,2,0,2,1,1,1,0,0,0,2,0,0
312245,2,0,3,3,3,2,5,2,3,2,2,0,1,1,1,0,2,2
312247,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
312250,1,4,0,5,0,2,1,3,2,4,2,0,0,1,0,0,1,1
312260,2,2,2,1,1,4,1,1,2,2,0,3,0,0,2,0,0,0
312270,5,3,1,1,0,3,2,2,2,1,1,0,1,0,0,0,0,0
312280,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
312290,0,0,3,1,1,0,2,0,1,3,0,0,0,2,0,2,0,0
312300,2,6,3,0,1,1,2,2,2,1,3,1,1,3,0,1,2,2
312310,2,1,2,1,1,1,1,1,0,0,2,0,0,1,3,1,1,0
312320,7,6,2,4,6,3,2,3,2,1,5,4,1,2,1,2,5,2
312330,2,0,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0
312340,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
312350,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1
312352,6,5,3,1,3,1,2,2,2,4,0,3,3,0,1,1,5,0
312360,9,18,11,6,9,13,5,4,7,2,5,6,5,1,1,3,3,8
312370,9,6,5,6,7,8,1,6,1,4,2,0,2,2,1,1,1,4
312380,2,3,0,0,1,1,1,1,3,1,2,0,0,1,0,1,1,1
312385,4,4,6,4,4,1,0,1,1,3,4,1,1,2,1,2,0,1
312390,5,2,2,4,1,6,6,1,3,3,6,2,1,5,3,1,1,4
312400,6,11,9,8,11,5,6,5,5,4,2,1,1,5,4,1,8,1
312410,26,19,16,12,15,21,9,9,5,5,7,10,8,10,12,6,9,16
312420,11,6,4,10,10,9,11,7,7,6,3,8,9,2,0,2,5,3
312430,12,19,18,7,9,9,7,8,10,8,4,6,2,6,6,3,6,3
312440,0,0,0,2,0,0,1,2,0,0,1,0,1,0,0,0,3,0
312450,2,2,2,0,1,1,1,0,3,2,1,0,3,1,3,1,1,2
312460,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,2,0
312470,1,2,1,1,2,0,1,2,0,0,0,0,0,0,2,0,1,0
312480,1,1,0,1,2,3,1,1,0,0,3,1,1,0,1,0,2,2
312490,0,6,1,1,0,3,0,2,0,1,0,1,0,3,2,0,0,1
312500,0,1,1,0,1,1,1,1,2,1,1,1,0,0,1,0,0,0
312510,6,12,8,5,5,12,4,2,2,2,7,7,4,4,3,4,7,5
312520,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
312530,0,2,2,3,1,0,0,1,2,1,0,2,3,0,0,0,0,1
312540,2,2,0,2,2,2,1,1,0,1,1,1,1,0,1,1,0,1
312560,3,5,3,10,3,2,4,2,0,2,5,2,4,1,1,4,3,1
312570,0,3,6,2,3,1,2,1,4,4,1,3,3,3,3,1,1,3
312580,1,1,0,2,1,1,0,0,0,0,1,1,0,0,1,0,0,1
312590,4,1,3,9,4,1,1,2,4,4,1,3,2,2,0,0,1,0
312595,5,2,0,7,5,7,4,0,3,3,3,4,4,1,1,0,0,1
312600,0,0,2,0,1,0,0,0,0,0,2,2,0,0,2,2,0,1
312610,27,19,10,8,12,10,15,8,5,3,5,6,9,10,12,10,10,11
312620,2,0,1,2,0,1,3,0,0,2,1,1,0,0,2,0,0,2
312630,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
312640,1,1,0,1,0,0,2,0,0,1,1,0,0,0,1,1,1,0
312650,4,1,0,3,2,4,5,4,0,1,1,0,1,1,3,1,1,1
312660,0,1,1,3,2,2,0,4,1,1,2,2,3,2,1,0,1,0
312670,15,7,7,3,5,8,6,7,4,8,1,10,7,6,2,5,3,4
312675,0,1,1,0,1,0,1,0,0,1,2,1,4,1,1,1,0,0
312680,5,0,1,2,3,3,3,1,3,3,2,1,1,3,1,1,1,2
312690,4,4,2,5,0,6,2,1,6,2,2,1,6,3,1,3,1,2
312695,0,3,1,0,0,1,0,1,1,0,0,1,3,1,1,0,0,0
312700,4,3,2,1,1,0,1,5,2,0,1,2,3,4,5,0,0,3
312705,3,1,0,0,3,1,4,2,1,0,0,0,1,1,0,0,1,2
312707,0,3,0,0,2,1,2,0,0,1,3,1,2,0,2,3,0,1
312710,16,15,14,10,8,5,16,12,11,7,8,4,10,3,7,8,3,8
312720,1,0,0,2,0,0,0,0,0,1,1,1,1,0,0,2,0,0
312730,1,4,3,4,3,1,3,4,2,2,2,2,0,0,1,2,4,2
312733,0,0,3,1,1,0,0,2,0,0,1,0,0,0,2,2,1,1
312735,0,0,0,2,0,1,2,0,1,0,0,0,1,1,1,1,1,2
312737,0,0,1,0,1,1,2,1,0,1,0,0,2,2,0,0,2,1
312738,0,1,2,1,2,0,3,2,0,0,0,0,0,0,1,0,1,0
312740,0,1,1,1,1,1,0,0,0,0,0,4,1,0,0,1,0,1
312750,2,1,3,4,0,4,2,1,1,1,1,0,3,0,0,1,0,3
312760,7,4,3,3,3,4,3,2,0,7,3,0,5,3,2,4,0,3
312770,121,119,79,91,76,78,70,68,70,54,37,43,48,49,57,59,54,47
312780,12,6,5,5,4,4,6,3,3,2,2,5,4,6,2,1,5,2
312790,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
312800,17,21,9,16,21,8,11,7,6,5,7,3,10,7,9,2,4,3
312810,4,5,1,1,5,2,3,0,3,2,1,2,1,0,0,3,1,6
312820,9,6,4,3,0,5,2,1,1,4,1,3,1,3,2,0,2,1
312825,3,1,0,0,1,2,3,1,1,0,0,2,1,1,2,3,0,2
312830,3,4,3,4,3,1,3,3,3,8,5,8,1,5,2,1,4,6
312840,5,7,5,2,2,3,4,1,2,0,0,3,3,1,3,2,1,1
312850,3,1,0,0,2,3,0,0,1,0,1,0,0,0,1,2,0,0
312860,3,0,2,0,1,2,0,1,3,0,5,1,1,0,2,1,1,1
312870,23,17,17,15,17,17,10,10,13,3,2,6,10,12,5,10,8,15
312880,3,2,2,0,0,0,1,3,4,6,0,1,1,2,2,2,0,1
312890,0,3,3,2,3,2,2,2,6,2,0,0,1,2,0,1,2,0
312900,4,3,1,0,2,0,4,1,2,2,0,1,1,3,3,0,2,0
312910,2,1,2,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0
312920,3,1,4,1,1,0,0,0,1,2,2,1,0,2,0,0,1,0
312930,3,4,4,1,2,3,3,2,4,0,2,2,4,1,1,1,0,1
312940,7,1,3,1,4,4,2,1,1,3,2,2,1,1,3,0,2,1
312950,12,10,5,4,7,9,2,3,7,7,4,4,5,5,1,4,3,2
312960,2,1,3,3,2,1,1,1,3,4,6,1,1,2,0,0,1,0
312965,0,1,1,3,1,2,3,5,2,0,0,3,2,0,1,1,0,2
312970,7,2,2,1,2,2,2,4,5,4,1,1,1,4,0,1,0,0
312980,57,49,41,38,31,30,36,29,28,32,31,31,20,26,30,26,26,22
312990,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0
313000,0,2,4,2,0,0,1,1,0,0,1,0,0,0,0,2,0,0
313005,0,0,3,4,1,4,3,2,2,3,3,5,2,4,2,5,1,1
313010,8,11,6,7,5,2,3,6,3,7,9,3,5,10,5,8,8,9
313020,3,2,1,2,1,2,1,3,2,0,1,1,0,0,1,1,2,2
313030,3,1,1,2,0,0,1,2,1,2,0,0,0,1,1,1,0,1
313040,1,3,2,2,0,3,0,2,1,1,0,3,2,0,0,2,0,0
313050,5,3,5,1,2,3,1,0,0,1,1,0,1,3,0,0,2,1
313055,2,3,5,2,2,2,6,1,1,0,0,1,1,2,1,2,2,2
313060,4,1,2,2,0,0,0,0,0,0,0,1,0,0,3,0,1,1
313065,0,0,3,2,3,1,1,3,3,0,1,2,0,1,1,0,1,2
313070,0,1,1,1,0,1,2,0,0,1,3,0,2,0,0,2,0,2
313080,2,1,1,1,0,3,0,0,1,4,0,2,1,0,0,2,0,0
313090,12,9,10,13,2,14,3,4,4,3,3,6,5,1,2,2,1,1
313100,1,0,2,1,1,1,1,2,1,1,1,2,2,1,2,0,1,0
313110,0,3,2,1,2,2,3,1,1,1,1,0,2,1,0,3,1,3
313115,11,6,9,4,5,3,3,2,3,1,5,1,0,1,5,2,3,2
